日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-23,399006.SZ,创业板指,3720.25,3428.55,3428.55,8.51,YES,1,11
2026-04-23,399001.SZ,深证成指,15043.45,14213.19,14213.19,5.84,YES,2,11
2026-04-23,000688.SH,科创50,1432.59,1354.03,1354.03,5.8,YES,3,11
2026-04-23,000852.SH,中证1000,8362.74,7977.45,7977.45,4.83,YES,4,11
2026-04-23,000905.SH,中证500,8295.21,7937.59,7937.59,4.51,YES,5,11
2026-04-23,000985.SH,中证全指,6303.1,6066.7,6066.7,3.9,YES,6,11
2026-04-23,000300.SH,沪深300,4786.33,4610.81,4610.81,3.81,YES,7,11
2026-04-23,000001.SH,上证指数,4093.25,3985.98,3985.98,2.69,YES,8,11
2026-04-23,000016.SH,上证50,2927.93,2886.94,2886.94,1.42,YES,9,11
2026-04-23,000908.SH,中证2000,2729.17,2735.4,2735.4,-0.23,NO,10,20
2026-04-23,801741.SI,商业航天,38788.79,34056.77,34056.77,13.89,YES,1,7
2026-04-23,801081.SI,半导体,8070.11,7523.92,7523.92,7.26,YES,2,11
2026-04-23,000941.SH,新能源,2875.96,2765.75,2765.75,3.98,YES,3,8
2026-04-23,801738.SI,电网设备,6865.79,6608.47,6608.47,3.89,YES,4,6
2026-04-23,399998.SZ,中证煤炭,2396.17,2335.23,2335.23,2.61,YES,5,1
2026-04-23,931775.SH,房地产,2773.93,2722.09,2722.09,1.9,YES,6,7
2026-04-23,399975.SZ,证券公司,749.32,740.46,740.46,1.2,YES,7,9
2026-04-23,000922.SH,中证红利,5781.32,5721.14,5721.14,1.05,YES,8,2
2026-04-23,801735.SI,光伏设备,6998.52,6933.98,6933.98,0.93,YES,9,3
2026-04-23,000813.SH,细分化工,4166.25,4134.69,4134.69,0.76,YES,10,11
2026-04-23,399989.SZ,中证医疗,6685.28,6650.68,6650.68,0.52,YES,11,11
2026-04-23,931787.SH,港股创新药,1336.83,1363.96,1363.96,-1.99,NO,12,1
2026-04-23,SOXX,费城半导体,441.0,376.28,376.28,17.2,YES,1,12
2026-04-23,NDX,纳斯达克,24438.5,22900.34,22900.34,6.72,YES,2,12
2026-04-23,UDI,美元指数,98.83,99.07,99.07,-0.24,NO,3,12
2026-04-23,SGE-AG,白银,18580.0,18678.85,18678.85,-0.53,NO,4,1
2026-04-23,SGE-AU,黄金,1030.62,1038.85,1038.85,-0.79,NO,5,1
