日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-05-06,000688.SH,科创50,1656.95,1427.84,1427.84,16.05,YES,1,13
2026-05-06,399006.SZ,创业板指,3778.16,3559.0,3559.0,6.16,YES,2,13
2026-05-06,000905.SH,中证500,8588.44,8133.84,8133.84,5.59,YES,3,13
2026-05-06,399001.SZ,深证成指,15459.62,14647.69,14647.69,5.54,YES,4,13
2026-05-06,000852.SH,中证1000,8574.56,8177.85,8177.85,4.85,YES,5,13
2026-05-06,000985.SH,中证全指,6465.6,6196.29,6196.29,4.35,YES,6,13
2026-05-06,000300.SH,沪深300,4877.09,4704.12,4704.12,3.68,YES,7,13
2026-05-06,000016.SH,上证50,3026.44,2924.96,2924.96,3.47,YES,8,13
2026-05-06,000001.SH,上证指数,4160.17,4042.92,4042.92,2.9,YES,9,13
2026-05-06,801081.SI,半导体,9313.26,7998.93,7998.93,16.43,YES,1,13
2026-05-06,801741.SI,商业航天,39383.2,35472.04,35472.04,11.03,YES,2,13
2026-05-06,000941.SH,新能源,3037.78,2817.55,2817.55,7.82,YES,3,13
2026-05-06,399998.SZ,中证煤炭,2543.77,2362.11,2362.11,7.69,YES,4,13
2026-05-06,931775.SH,房地产,2922.36,2753.22,2753.22,6.14,YES,5,13
2026-05-06,000813.SH,细分化工,4482.01,4229.25,4229.25,5.98,YES,6,13
2026-05-06,801735.SI,光伏设备,7175.97,6878.73,6878.73,4.32,YES,7,3
2026-05-06,399975.SZ,证券公司,767.7,748.01,748.01,2.63,YES,8,13
2026-05-06,801738.SI,电网设备,6823.13,6653.71,6653.71,2.55,YES,9,1
2026-05-06,000922.SH,中证红利,5881.84,5747.6,5747.6,2.34,YES,10,13
2026-05-06,399989.SZ,中证医疗,6687.11,6683.1,6683.1,0.06,YES,11,4
2026-05-06,931787.SH,港股创新药,1326.09,1375.35,1375.35,-3.58,NO,12,13
