日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-07,000908.SH,中证2000,2828.35,2834.97,2834.97,-0.23,NO,1,9
2026-04-07,000016.SH,上证50,2830.52,2888.61,2888.61,-2.01,NO,2,25
2026-04-07,000001.SH,上证指数,3890.16,3976.24,3976.24,-2.16,NO,3,17
2026-04-07,000300.SH,沪深300,4440.62,4554.61,4554.61,-2.5,NO,4,17
2026-04-07,000985.SH,中证全指,5822.75,6005.5,6005.5,-3.04,NO,5,17
2026-04-07,399001.SZ,深证成指,13400.41,13848.95,13848.95,-3.24,NO,6,15
2026-04-07,000852.SH,中证1000,7606.02,7867.45,7867.45,-3.32,NO,7,17
2026-04-07,399006.SZ,创业板指,3160.82,3274.46,3274.46,-3.47,NO,8,6
2026-04-07,000688.SH,科创50,1274.01,1322.09,1322.09,-3.64,NO,9,25
2026-04-07,000905.SH,中证500,7571.11,7868.28,7868.28,-3.78,NO,10,18
2026-04-07,399989.SZ,中证医疗,6605.33,6610.25,6610.25,-0.07,NO,1,2
2026-04-07,000813.SH,细分化工,4100.02,4124.84,4124.84,-0.6,NO,2,16
2026-04-07,000922.SH,中证红利,5677.98,5785.34,5785.34,-1.86,NO,3,14
2026-04-07,399998.SZ,中证煤炭,2355.54,2426.4,2426.4,-2.92,NO,4,6
2026-04-07,801081.SI,半导体,7011.74,7258.26,7258.26,-3.4,NO,5,25
2026-04-07,399975.SZ,证券公司,713.22,751.4,751.4,-5.08,NO,6,25
2026-04-07,801750.SI,通信,4732.27,5060.91,5060.91,-6.49,NO,7,18
2026-04-07,931775.SH,房地产,2603.08,2789.35,2789.35,-6.68,NO,8,25
2026-04-07,801738.SI,电网设备,6262.91,6769.7,6769.7,-7.49,NO,9,15
2026-04-07,801741.SI,商业航天,30883.5,33595.56,33595.56,-8.07,NO,10,18
2026-04-07,000941.SH,新能源,2553.86,2788.66,2788.66,-8.42,NO,11,5
2026-04-07,801735.SI,光伏设备,6442.74,7404.0,7404.0,-12.98,NO,12,8
2026-04-07,931787.SH,港股创新药,0.0,0.0,0.0,0.0,NO,13,2
2026-04-07,SOXX,费城半导体,347.76,335.76,335.76,3.57,YES,1,1
2026-04-07,SGE-AG,白银,18974.0,18673.8,18673.8,1.61,YES,2,1
2026-04-07,SGE-AU,黄金,1058.84,1050.49,1050.49,0.8,YES,3,1
2026-04-07,UUP,美元指数,27.75,27.73,27.73,0.08,YES,4,1
2026-04-07,COMP,纳斯达克,6.68,7.78,7.78,-14.15,NO,5,25
