日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-14,399006.SZ,创业板指,3558.53,3300.17,3300.17,7.83,YES,1,8
2026-04-14,000688.SH,科创50,1405.07,1315.97,1315.97,6.77,YES,2,8
2026-04-14,399001.SZ,深证成指,14639.95,13829.61,13829.61,5.86,YES,3,8
2026-04-14,000852.SH,中证1000,8144.76,7795.99,7795.99,4.47,YES,4,8
2026-04-14,000905.SH,中证500,8088.57,7781.85,7781.85,3.94,YES,5,8
2026-04-14,000985.SH,中证全指,6181.43,5961.92,5961.92,3.68,YES,6,8
2026-04-14,000300.SH,沪深300,4701.28,4541.52,4541.52,3.52,YES,7,8
2026-04-14,000001.SH,上证指数,4026.63,3946.08,3946.08,2.04,YES,8,8
2026-04-14,000016.SH,上证50,2924.18,2871.88,2871.88,1.82,YES,9,8
2026-04-14,801081.SI,半导体,7875.9,7265.69,7265.69,8.4,YES,1,8
2026-04-14,931787.SH,港股创新药,1389.06,1310.26,1310.26,6.01,YES,2,1
2026-04-14,801741.SI,商业航天,34273.31,32624.46,32624.46,5.05,YES,3,8
2026-04-14,000813.SH,细分化工,4235.71,4074.3,4074.3,3.96,YES,4,8
2026-04-14,000941.SH,新能源,2836.57,2749.75,2749.75,3.16,YES,5,8
2026-04-14,399975.SZ,证券公司,759.54,741.91,741.91,2.38,YES,6,8
2026-04-14,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,7,8
2026-04-14,399989.SZ,中证医疗,6724.99,6593.77,6593.77,1.99,YES,8,1
2026-04-14,931775.SH,房地产,2784.2,2733.64,2733.64,1.85,YES,9,8
2026-04-14,801738.SI,电网设备,6562.93,6573.72,6573.72,-0.16,NO,10,1
2026-04-14,000922.SH,中证红利,5700.24,5731.14,5731.14,-0.54,NO,11,1
2026-04-14,801735.SI,光伏设备,6985.15,7157.91,7157.91,-2.41,NO,12,1
2026-04-14,399998.SZ,中证煤炭,2295.33,2383.07,2383.07,-3.68,NO,13,1
