日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-24,000688.SH,科创50,1453.69,1362.27,1362.27,6.71,YES,1,8
2026-04-24,399006.SZ,创业板指,3667.79,3448.31,3448.31,6.36,YES,2,8
2026-04-24,399001.SZ,深证成指,14940.3,14279.88,14279.88,4.62,YES,3,8
2026-04-24,000852.SH,中证1000,8304.14,8010.69,8010.69,3.66,YES,4,8
2026-04-24,000905.SH,中证500,8247.88,7967.87,7967.87,3.51,YES,5,8
2026-04-24,000300.SH,沪深300,4769.37,4625.4,4625.4,3.11,YES,6,8
2026-04-24,000985.SH,中证全指,6271.17,6087.16,6087.16,3.02,YES,7,8
2026-04-24,000001.SH,上证指数,4079.9,3995.52,3995.52,2.11,YES,8,8
2026-04-24,000016.SH,上证50,2945.04,2892.96,2892.96,1.8,YES,9,8
2026-04-24,801081.SI,半导体,8196.33,7578.68,7578.68,8.15,YES,1,8
2026-04-24,801741.SI,商业航天,36642.34,34281.06,34281.06,6.89,YES,2,8
2026-04-24,000941.SH,新能源,2895.35,2768.59,2768.59,4.58,YES,3,8
2026-04-24,000813.SH,细分化工,4274.99,4148.77,4148.77,3.04,YES,4,8
2026-04-24,399998.SZ,中证煤炭,2396.3,2332.02,2332.02,2.76,YES,5,8
2026-04-24,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,6,8
2026-04-24,801738.SI,电网设备,6756.01,6616.17,6616.17,2.11,YES,7,8
2026-04-24,931775.SH,房地产,2758.42,2724.02,2724.02,1.26,YES,8,8
2026-04-24,000922.SH,中证红利,5776.34,5723.49,5723.49,0.92,YES,9,8
2026-04-24,801735.SI,光伏设备,6921.35,6905.14,6905.14,0.23,YES,10,8
2026-04-24,399975.SZ,证券公司,742.45,741.21,741.21,0.17,YES,11,8
2026-04-24,399989.SZ,中证医疗,6674.66,6667.58,6667.58,0.11,YES,12,1
2026-04-24,931787.SH,港股创新药,1345.46,1368.89,1368.89,-1.71,NO,13,8
