日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-03-30,399006.SZ,创业板指,3273.36,3280.11,3280.11,-0.21,NO,1,1
2026-03-30,399001.SZ,深证成指,13726.19,13991.16,13991.16,-1.89,NO,2,1
2026-03-30,000300.SH,沪深300,4491.95,4596.9,4596.9,-2.28,NO,3,1
2026-03-30,000001.SH,上证指数,3923.29,4026.47,4026.47,-2.56,NO,4,1
2026-03-30,000985.SH,中证全指,5925.21,6091.91,6091.91,-2.74,NO,5,1
2026-03-30,000852.SH,中证1000,7767.93,8002.99,8002.99,-2.94,NO,6,1
2026-03-30,000016.SH,上证50,2833.21,2924.26,2924.26,-3.11,NO,7,1
2026-03-30,000905.SH,中证500,7753.72,8038.32,8038.32,-3.54,NO,8,1
2026-03-30,000688.SH,科创50,1289.78,1353.76,1353.76,-4.73,NO,9,1
2026-03-30,931787.SH,港股创新药,1301.95,1261.72,1261.72,3.19,YES,1,1
2026-03-30,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,2,8
2026-03-30,000941.SH,新能源,2808.07,2801.23,2801.23,0.24,YES,3,8
2026-03-30,399998.SZ,中证煤炭,2439.12,2448.12,2448.12,-0.37,NO,4,1
2026-03-30,000922.SH,中证红利,5795.51,5827.93,5827.93,-0.56,NO,5,1
2026-03-30,399989.SZ,中证医疗,6564.7,6622.0,6622.0,-0.87,NO,6,2
2026-03-30,000813.SH,细分化工,4126.56,4213.86,4213.86,-2.07,NO,7,1
2026-03-30,801081.SI,半导体,7148.83,7405.14,7405.14,-3.46,NO,8,1
2026-03-30,931775.SH,房地产,2733.04,2855.53,2855.53,-4.29,NO,9,1
2026-03-30,801735.SI,光伏设备,7213.95,7577.02,7577.02,-4.79,NO,10,1
2026-03-30,399975.SZ,证券公司,728.7,768.44,768.44,-5.17,NO,11,1
2026-03-30,801738.SI,电网设备,6580.25,6978.43,6978.43,-5.71,NO,12,1
2026-03-30,801741.SI,商业航天,32901.9,35057.93,35057.93,-6.15,NO,13,1
