日期,代码,名称,当前价格,MA20,临界值,偏离度(%),信号状态,趋势强度,持续天数
2026-04-30,000688.SH,科创50,1571.07,1408.1,1408.1,11.57,YES,1,12
2026-04-30,399006.SZ,创业板指,3677.15,3528.72,3528.72,4.21,YES,2,12
2026-04-30,399001.SZ,深证成指,15107.55,14549.06,14549.06,3.84,YES,3,12
2026-04-30,000905.SH,中证500,8349.51,8084.68,8084.68,3.28,YES,4,12
2026-04-30,000852.SH,中证1000,8381.95,8130.3,8130.3,3.1,YES,5,12
2026-04-30,000985.SH,中证全指,6342.26,6166.03,6166.03,2.86,YES,6,12
2026-04-30,000300.SH,沪深300,4807.31,4684.21,4684.21,2.63,YES,7,12
2026-04-30,000016.SH,上证50,2985.5,2916.31,2916.31,2.37,YES,8,12
2026-04-30,000001.SH,上证指数,4112.16,4030.88,4030.88,2.02,YES,9,12
2026-04-30,801081.SI,半导体,8848.26,7877.69,7877.69,12.32,YES,1,12
2026-04-30,801741.SI,商业航天,37847.69,35094.95,35094.95,7.84,YES,2,12
2026-04-30,399998.SZ,中证煤炭,2533.36,2352.62,2352.62,7.68,YES,3,12
2026-04-30,000941.SH,新能源,2939.05,2796.94,2796.94,5.08,YES,4,12
2026-04-30,000813.SH,细分化工,4412.28,4206.08,4206.08,4.9,YES,5,12
2026-04-30,931775.SH,房地产,2864.2,2739.65,2739.65,4.55,YES,6,12
2026-04-30,801735.SI,光伏设备,7031.59,6853.04,6853.04,2.61,YES,7,2
2026-04-30,000922.SH,中证红利,5865.07,5740.74,5740.74,2.17,YES,8,12
2026-04-30,801192.SI,有色金属,3671.03,3594.75,3594.75,2.12,YES,9,12
2026-04-30,399975.SZ,证券公司,757.08,745.69,745.69,1.53,YES,10,12
2026-04-30,399989.SZ,中证医疗,6687.22,6686.21,6686.21,0.02,YES,11,3
2026-04-30,801738.SI,电网设备,6614.19,6633.27,6633.27,-0.29,NO,12,1
2026-04-30,931787.SH,港股创新药,1335.71,1381.68,1381.68,-3.33,NO,13,12
